Method,ID,Question,Ground_Truth,Top1_Result,Correct_Retrieval,Faithfulness,Citation_Acc,Latency_ms
FAISS Only (Retrieval),105,Hình thức thi chứng chỉ nghiệp vụ đấu thầu là gì?,Điều 13 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,344.26
FAISS Only (Retrieval),106,Thời gian làm bài thi chứng chỉ đấu thầu là bao nhiêu phút?,Điều 16 - Thông tư 02/2024/TT-BKHĐT,22_2023_QH15_518805,True,N/A,N/A,355.65
FAISS Only (Retrieval),107,Đề thi chứng chỉ đấu thầu bao gồm bao nhiêu câu hỏi?,Điều 16 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,342.58
FAISS Only (Retrieval),108,"Để đạt yêu cầu cấp chứng chỉ, thí sinh phải đạt bao nhiêu điểm?",Điều 18 - Thông tư 02/2024/TT-BKHĐT,22_2023_QH15_518805,True,N/A,N/A,300.46
FAISS Only (Retrieval),109,Hồ sơ đề nghị cấp chứng chỉ đấu thầu bao gồm những giấy tờ gì?,Điều 11 - Thông tư 02/2024/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,284.72
FAISS Only (Retrieval),110,Thông tư 05/2024/TT-BKHĐT quy định về nội dung gì?,Thông tư 05/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,281.12
FAISS Only (Retrieval),111,Chi phí duy trì tên và hồ sơ năng lực nhà thầu trên Hệ thống là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,03_CT-BKHDT_415554,True,N/A,N/A,469.32
FAISS Only (Retrieval),112,Thời hạn nộp chi phí duy trì tên và hồ sơ năng lực là khi nào?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,06_2021_TT-BKHDT_490510,True,N/A,N/A,408.69
FAISS Only (Retrieval),113,Chi phí nộp hồ sơ dự thầu trên Hệ thống mạng đấu thầu quốc gia là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,22_2023_QH15_518805,True,N/A,N/A,424.42
FAISS Only (Retrieval),114,Mức thu chi phí đối với nhà thầu trúng thầu được tính như thế nào?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,331.59
FAISS Only (Retrieval),115,Chi phí kết nối chức năng bảo lãnh dự thầu điện tử là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,03_CT-BKHDT_415554,False,N/A,N/A,254.85
FAISS Only (Retrieval),116,Đơn vị nào chịu trách nhiệm thu các chi phí trên Hệ thống mạng đấu thầu quốc gia?,Điều 5 - Thông tư 05/2024/TT-BKHĐT,05_2024_TT-BKHDT_607705,True,N/A,N/A,511.61
FAISS Only (Retrieval),117,Nhà thầu nước ngoài có phải nộp chi phí trên Hệ thống mạng đấu thầu quốc gia không?,Thông tư 05/2024/TT-BKHĐT,214_2025_ND-CP_668157,False,N/A,N/A,391.49
FAISS Only (Retrieval),118,"Nếu không nộp chi phí duy trì tên đúng hạn, nhà thầu bị xử lý thế nào?",Điều 6 - Thông tư 05/2024/TT-BKHĐT,06_2021_TT-BKHDT_490510,True,N/A,N/A,315.94
FAISS Only (Retrieval),119,Chỉ thị 03/CT-BKHĐT năm 2019 nhằm mục đích gì?,Chỉ thị 03/CT-BKHĐT,02_2024_TT-BKHDT_591580,False,N/A,N/A,268.94
FAISS Only (Retrieval),120,Chỉ thị 03 nghiêm cấm hành vi nào trong lập hồ sơ mời thầu?,Chỉ thị 03/CT-BKHĐT,22_2023_QH15_518805,False,N/A,N/A,252.12
FAISS Only (Retrieval),121,Cơ quan nào chịu trách nhiệm giám sát công tác đấu thầu tại địa phương theo Chỉ thị 03?,Chỉ thị 03/CT-BKHĐT,79_2025_TT-BTC_668381,False,N/A,N/A,429.97
FAISS Only (Retrieval),122,Nghị định 09/2022/NĐ-CP hướng dẫn thực hiện đấu thầu theo hiệp định nào?,Nghị định 09/2022/NĐ-CP,17_2025_ND-CP_632484,True,N/A,N/A,316.42
FAISS Only (Retrieval),123,Phạm vi điều chỉnh của Nghị định 09/2022/NĐ-CP là gì?,Điều 1 - Nghị định 09/2022/NĐ-CP,17_2025_ND-CP_632484,True,N/A,N/A,255.04
FAISS Only (Retrieval),124,Gói thầu mua sắm hàng hóa an ninh quốc gia có thuộc phạm vi Nghị định 09/2022 không?,Nghị định 09/2022/NĐ-CP,09_2022_ND-CP_500254,True,N/A,N/A,272.14
FAISS Only (Retrieval),125,Cơ quan mua sắm tập trung cấp quốc gia theo Nghị định 09/2022 là đơn vị nào?,Nghị định 09/2022/NĐ-CP,07_2016_TT-BKHDT_317089,True,N/A,N/A,300.64
FAISS Only (Retrieval),126,Gói thầu dịch vụ xây dựng tại vùng sâu vùng xa theo Nghị định 09/2022 có ưu đãi gì?,Nghị định 09/2022/NĐ-CP,09_2022_ND-CP_500254,True,N/A,N/A,284.03
FAISS Only (Retrieval),127,Thông tư 12/2022/TT-BKHĐT hướng dẫn lập hồ sơ cho loại gói thầu nào?,Thông tư 12/2022/TT-BKHĐT,79_2025_TT-BTC_668381,True,N/A,N/A,267.46
FAISS Only (Retrieval),128,Mẫu hồ sơ mời thầu mua sắm hàng hóa qua mạng (một giai đoạn một túi hồ sơ) là mẫu số mấy?,Thông tư 12/2022/TT-BKHĐT,06_2021_TT-BKHDT_490510,False,N/A,N/A,357.05
FAISS Only (Retrieval),129,Thông tư 15/2022/TT-BKHĐT áp dụng cho lĩnh vực đấu thầu nào?,Thông tư 15/2022/TT-BKHĐT,79_2025_TT-BTC_668381,False,N/A,N/A,369.65
FAISS Only (Retrieval),130,"Nếu sửa đổi hồ sơ mời thầu sau khi phát hành (theo TT 15/2022), bên mời thầu phải làm gì?",Thông tư 15/2022/TT-BKHĐT,22_2023_QH15_518805,False,N/A,N/A,432.52
FAISS Only (Retrieval),131,Thông tư 09/2024/TT-BKHĐT hướng dẫn về thủ tục gì?,Thông tư 09/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,789.36
FAISS Only (Retrieval),132,Cơ quan nào quản lý Hệ thống thông tin quốc gia về hợp tác xã?,Thông tư 09/2024/TT-BKHĐT,09_2022_ND-CP_500254,True,N/A,N/A,289.89
FAISS Only (Retrieval),133,Quyết định 16/QĐ-BKHĐT năm 2025 nói về đề án gì?,Quyết định 16/QĐ-BKHĐT,1315_CT-TTg_127435,False,N/A,N/A,274.56
FAISS Only (Retrieval),134,Mục tiêu đến năm 2030 của Quyết định 16/QĐ-BKHĐT là gì?,Quyết định 16/QĐ-BKHĐT,1315_CT-TTg_127435,False,N/A,N/A,275.43
FAISS Only (Retrieval),135,Thông tư 07/2016/TT-BKHĐT quy định về vấn đề gì?,Thông tư 07/2016/TT-BKHĐT,12_2022_TT-BKHDT_521153,False,N/A,N/A,370.8
FAISS Only (Retrieval),136,"Theo Thông tư 07/2016, bên mời thầu có được yêu cầu nộp hồ sơ giấy song song với hồ sơ mạng không?",Thông tư 07/2016/TT-BKHĐT,07_2016_TT-BKHDT_317089,True,N/A,N/A,298.37
FAISS Only (Retrieval),137,"Trong E-HSMT (Thông tư 07/2016), bảng dữ liệu đấu thầu dùng để làm gì?",Thông tư 07/2016/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,434.78
FAISS Only (Retrieval),138,Thông tư 06/2021/TT-BKHĐT (cũ) quy định về chi phí gì?,Thông tư 06/2021/TT-BKHĐT,05_2024_TT-BKHDT_607705,True,N/A,N/A,325.62
FAISS Only (Retrieval),139,CPTPP là viết tắt của hiệp định nào?,Nghị định 09/2022/NĐ-CP,09_2022_ND-CP_500254,True,N/A,N/A,241.3
FAISS Only (Retrieval),140,UKVFTA là hiệp định giữa Việt Nam và nước nào?,Thông tư 12/2022/TT-BKHĐT,09_2022_ND-CP_500254,True,N/A,N/A,218.68
FAISS Only (Retrieval),141,EVFTA là hiệp định giữa Việt Nam và tổ chức nào?,Thông tư 12/2022/TT-BKHĐT,09_2022_ND-CP_500254,True,N/A,N/A,221.92
FAISS Only (Retrieval),142,Hồ sơ năng lực nhà thầu trên Hệ thống mạng bao gồm những thông tin gì?,Thông tư 05/2024/TT-BKHĐT (suy luận từ ngữ cảnh),214_2025_ND-CP_668157,False,N/A,N/A,275.97
FAISS Only (Retrieval),143,Việc thu hồi chứng chỉ nghiệp vụ đấu thầu diễn ra trong trường hợp nào?,Điều 22 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,232.75
FAISS Only (Retrieval),144,Chứng chỉ hành nghề hoạt động đấu thầu (cũ) còn giá trị sử dụng không?,Thông tư 02/2024/TT-BKHĐT,09_2024_TT-BKHDT_610974,True,N/A,N/A,257.12
FAISS Only (Retrieval),145,Nhà thầu có được rút hồ sơ dự thầu đã nộp trên mạng không?,Quy định chung,15_2022_TT-BKHDT_521152,False,N/A,N/A,271.22
FAISS Only (Retrieval),146,Quy định về đấu giá quyền khai thác khoáng sản nằm ở văn bản nào trong danh sách?,Out-of-domain,214_2025_ND-CP_668157,False,N/A,N/A,265.52
FAISS Only (Retrieval),147,Luật Đất đai 2024 quy định về giá đất như thế nào?,Out-of-domain,22_2023_QH15_518805,False,N/A,N/A,270.67
FAISS Only (Retrieval),148,Mức phạt vi phạm giao thông đường bộ là bao nhiêu?,Out-of-domain,09_2022_ND-CP_500254,False,N/A,N/A,259.26
FAISS Only (Retrieval),149,Thuế thu nhập cá nhân đối với người trúng thầu là bao nhiêu?,Out-of-domain,214_2025_ND-CP_668157,False,N/A,N/A,264.7
FAISS Only (Retrieval),150,Chi phí đăng tải thông báo mời thầu theo Thông tư 06/2021 là bao nhiêu?,Thông tư 06/2021 & 05/2024,05_2024_TT-BKHDT_607705,False,N/A,N/A,235.77
Hybrid w/o Cross-Encoder,1,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,26596.3
Hybrid w/o Cross-Encoder,2,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,9693.18
Hybrid w/o Cross-Encoder,3,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,6354.8
Hybrid w/o Cross-Encoder,4,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,1775.21
Hybrid w/o Cross-Encoder,5,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,4675.16
Hybrid w/o Cross-Encoder,6,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,11360.1
Hybrid w/o Cross-Encoder,7,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,13609.37
Hybrid w/o Cross-Encoder,8,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,1227.96
Hybrid w/o Cross-Encoder,9,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,3832.57
Hybrid w/o Cross-Encoder,10,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,1080.49
Hybrid w/o Cross-Encoder,11,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,302.74
Hybrid w/o Cross-Encoder,12,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,271.17
Hybrid w/o Cross-Encoder,13,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,266.34
Hybrid w/o Cross-Encoder,14,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,291.41
Hybrid w/o Cross-Encoder,15,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,264.44
Hybrid w/o Cross-Encoder,16,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,255.19
Hybrid w/o Cross-Encoder,17,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,271.8
Hybrid w/o Cross-Encoder,18,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,277.88
Hybrid w/o Cross-Encoder,19,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,270.01
Hybrid w/o Cross-Encoder,20,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,293.05
Hybrid w/o Cross-Encoder,21,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,309.04
Hybrid w/o Cross-Encoder,22,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,301.61
Hybrid w/o Cross-Encoder,23,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,281.62
Hybrid w/o Cross-Encoder,24,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,280.52
Hybrid w/o Cross-Encoder,25,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,271.72
Hybrid w/o Cross-Encoder,26,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,256.61
Hybrid w/o Cross-Encoder,27,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,446.57
Hybrid w/o Cross-Encoder,28,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,307.17
Hybrid w/o Cross-Encoder,29,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,289.39
Hybrid w/o Cross-Encoder,30,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,282.67
Hybrid w/o Cross-Encoder,31,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,288.88
Hybrid w/o Cross-Encoder,32,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,265.99
Hybrid w/o Cross-Encoder,33,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,276.37
Hybrid w/o Cross-Encoder,34,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,277.13
Hybrid w/o Cross-Encoder,35,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,277.39
Hybrid w/o Cross-Encoder,36,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,265.58
Hybrid w/o Cross-Encoder,37,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,258.85
Hybrid w/o Cross-Encoder,38,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,273.89
Hybrid w/o Cross-Encoder,39,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,276.53
Hybrid w/o Cross-Encoder,40,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,294.17
Hybrid w/o Cross-Encoder,41,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,334.9
Hybrid w/o Cross-Encoder,42,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,387.01
Hybrid w/o Cross-Encoder,43,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,277.19
Hybrid w/o Cross-Encoder,44,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,281.97
Hybrid w/o Cross-Encoder,45,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,275.3
Hybrid w/o Cross-Encoder,46,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,275.2
Hybrid w/o Cross-Encoder,47,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,282.65
Hybrid w/o Cross-Encoder,48,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,268.39
Hybrid w/o Cross-Encoder,49,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,274.17
Hybrid w/o Cross-Encoder,50,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,261.04
Hybrid w/o Cross-Encoder,51,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,280.16
Hybrid w/o Cross-Encoder,52,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,262.61
Hybrid w/o Cross-Encoder,53,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,278.95
Hybrid w/o Cross-Encoder,54,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,333.81
Hybrid w/o Cross-Encoder,55,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,271.27
Hybrid w/o Cross-Encoder,56,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,262.4
Hybrid w/o Cross-Encoder,57,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,293.51
Hybrid w/o Cross-Encoder,58,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,276.39
Hybrid w/o Cross-Encoder,59,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,269.9
Hybrid w/o Cross-Encoder,60,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,278.35
Hybrid w/o Cross-Encoder,61,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,295.08
Hybrid w/o Cross-Encoder,62,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,265.96
Hybrid w/o Cross-Encoder,63,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,264.48
Hybrid w/o Cross-Encoder,64,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,275.81
Hybrid w/o Cross-Encoder,65,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,257.27
